iter	Passed	Remaining
0	165	165345
1	167	83613
2	171	56963
3	173	43083
4	174	34732
5	178	29511
6	179	25454
7	180	22408
8	181	20032
9	186	18428
10	187	16898
11	189	15632
12	193	14707
13	195	13759
14	196	12924
15	201	12366
16	202	11717
17	204	11151
18	208	10746
19	209	10269
20	210	9836
21	212	9440
22	216	9181
23	217	8844
24	218	8531
25	220	8243
26	223	8067
27	225	7815
28	226	7584
29	227	7366
30	229	7165
31	230	6976
32	232	6799
33	234	6675
34	236	6521
35	237	6369
36	239	6226
37	243	6153
38	244	6027
39	245	5902
40	247	5783
41	250	5719
42	252	5608
43	253	5500
44	254	5404
45	258	5352
46	259	5259
47	260	5168
48	261	5081
49	265	5038
50	266	4959
51	267	4880
52	269	4809
53	272	4766
54	273	4700
55	274	4633
56	276	4566
57	277	4503
58	281	4483
59	283	4442
60	285	4391
61	290	4397
62	293	4364
63	295	4321
64	297	4273
65	301	4269
66	303	4222
67	304	4173
68	305	4125
69	309	4110
70	310	4068
71	312	4023
72	313	3980
73	316	3965
74	318	3923
75	319	3883
76	320	3842
77	321	3803
78	323	3768
79	324	3732
80	325	3696
81	327	3661
82	329	3644
83	331	3612
84	332	3579
85	333	3546
86	337	3539
87	338	3511
88	340	3480
89	341	3450
90	342	3420
91	345	3413
92	347	3385
93	348	3357
94	349	3329
95	353	3326
96	354	3301
97	355	3274
98	357	3249
99	360	3241
100	361	3218
101	362	3193
102	363	3169
103	365	3145
104	369	3147
105	370	3124
106	371	3102
107	373	3080
108	376	3078
109	378	3058
110	379	3037
111	380	3017
112	384	3019
113	386	3005
114	388	2992
115	391	2982
116	392	2963
117	394	2947
118	397	2945
119	399	2926
120	400	2908
121	401	2887
122	402	2869
123	405	2867
124	407	2853
125	409	2837
126	410	2818
127	413	2817
128	414	2801
129	416	2785
130	417	2770
131	422	2779
132	424	2765
133	426	2753
134	428	2743
135	429	2728
136	431	2716
137	436	2724
138	437	2712
139	439	2698
140	442	2698
141	443	2681
142	445	2667
143	446	2653
144	450	2653
145	451	2640
146	452	2626
147	453	2612
148	456	2609
149	458	2597
150	459	2583
151	460	2570
152	462	2558
153	465	2557
154	466	2545
155	468	2532
156	469	2520
157	472	2518
158	474	2507
159	475	2495
160	476	2481
161	477	2470
162	481	2474
163	483	2466
164	488	2470
165	489	2460
166	491	2452
167	496	2459
168	498	2449
169	499	2438
170	500	2427
171	506	2437
172	508	2429
173	512	2434
174	514	2423
175	515	2415
176	518	2412
177	520	2405
178	522	2395
179	523	2386
180	527	2388
181	529	2379
182	530	2369
183	533	2366
184	536	2364
185	538	2355
186	541	2354
187	543	2349
188	545	2341
189	550	2344
190	551	2336
191	553	2327
192	554	2317
193	559	2325
194	560	2315
195	562	2306
196	569	2320
197	574	2328
198	576	2319
199	577	2311
200	584	2325
201	589	2328
202	591	2323
203	594	2317
204	601	2332
205	607	2342
206	614	2353
207	616	2346
208	622	2356
209	624	2349
210	630	2357
211	632	2349
212	633	2341
213	635	2334
214	637	2328
215	642	2332
216	644	2324
217	645	2316
218	647	2309
219	649	2301
220	653	2304
221	654	2294
222	656	2285
223	657	2276
224	659	2271
225	660	2262
226	661	2253
227	664	2250
228	667	2246
229	668	2239
230	673	2241
231	675	2235
232	676	2227
233	677	2218
234	681	2219
235	683	2212
236	684	2204
237	688	2204
238	690	2198
239	692	2191
240	695	2191
241	697	2185
242	699	2177
243	700	2170
244	703	2169
245	705	2161
246	706	2153
247	707	2145
248	708	2137
249	710	2130
250	711	2123
251	712	2116
252	714	2108
253	717	2106
254	718	2099
255	719	2092
256	721	2085
257	724	2083
258	726	2077
259	727	2070
260	728	2062
261	729	2054
262	732	2053
263	734	2046
264	735	2038
265	736	2031
266	737	2024
267	739	2019
268	740	2012
269	741	2005
270	742	1998
271	745	1995
272	747	1989
273	748	1982
274	749	1975
275	750	1968
276	753	1966
277	754	1960
278	756	1953
279	757	1947
280	758	1940
281	761	1939
282	763	1933
283	764	1927
284	765	1921
285	770	1922
286	771	1917
287	772	1910
288	773	1903
289	776	1900
290	777	1894
291	779	1888
292	783	1890
293	785	1885
294	786	1880
295	790	1880
296	792	1875
297	793	1869
298	797	1868
299	799	1865
300	800	1859
301	802	1854
302	804	1849
303	805	1843
304	806	1837
305	807	1832
306	811	1831
307	812	1824
308	813	1818
309	814	1812
310	815	1806
311	818	1805
312	820	1800
313	821	1794
314	822	1788
315	823	1782
316	825	1777
317	826	1772
318	827	1766
319	828	1760
320	829	1754
321	831	1749
322	832	1744
323	833	1738
324	834	1733
325	837	1730
326	838	1725
327	839	1720
328	840	1714
329	841	1709
330	842	1703
331	846	1703
332	847	1698
333	848	1692
334	850	1687
335	853	1686
336	854	1681
337	856	1676
338	857	1672
339	861	1671
340	862	1666
341	863	1661
342	864	1656
343	865	1650
344	868	1649
345	870	1644
346	871	1639
347	872	1634
348	873	1629
349	876	1628
350	878	1623
351	879	1619
352	880	1614
353	884	1613
354	885	1609
355	886	1604
356	888	1599
357	891	1599
358	892	1594
359	893	1589
360	895	1584
361	896	1579
362	899	1578
363	900	1573
364	901	1569
365	903	1564
366	906	1563
367	907	1559
368	909	1554
369	910	1549
370	911	1545
371	914	1543
372	915	1539
373	916	1534
374	918	1530
375	921	1529
376	922	1525
377	923	1520
378	925	1515
379	926	1511
380	929	1509
381	930	1505
382	931	1500
383	932	1496
384	933	1491
385	936	1490
386	938	1486
387	939	1481
388	940	1477
389	941	1472
390	945	1472
391	946	1468
392	947	1463
393	948	1459
394	951	1457
395	953	1454
396	954	1450
397	957	1447
398	961	1448
399	962	1443
400	964	1440
401	968	1440
402	969	1436
403	970	1432
404	971	1427
405	976	1428
406	978	1425
407	980	1422
408	987	1426
409	993	1429
410	994	1425
411	996	1422
412	998	1419
413	1000	1415
414	1001	1411
415	1005	1411
416	1006	1407
417	1008	1403
418	1009	1399
419	1012	1398
420	1014	1395
421	1016	1392
422	1019	1390
423	1021	1387
424	1023	1384
425	1028	1385
426	1029	1381
427	1031	1378
428	1032	1374
429	1035	1372
430	1036	1368
431	1038	1364
432	1041	1363
433	1042	1360
434	1044	1356
435	1045	1352
436	1046	1348
437	1048	1345
438	1050	1342
439	1051	1338
440	1055	1337
441	1057	1334
442	1059	1332
443	1060	1328
444	1064	1327
445	1065	1324
446	1067	1320
447	1068	1316
448	1072	1315
449	1073	1312
450	1074	1308
451	1075	1304
452	1080	1304
453	1081	1301
454	1083	1297
455	1087	1297
456	1089	1294
457	1090	1290
458	1094	1289
459	1095	1286
460	1096	1282
461	1098	1279
462	1101	1278
463	1103	1274
464	1104	1271
465	1106	1267
466	1109	1266
467	1111	1263
468	1112	1259
469	1113	1255
470	1117	1254
471	1118	1251
472	1120	1247
473	1121	1244
474	1122	1240
475	1124	1237
476	1125	1234
477	1126	1230
478	1128	1226
479	1131	1225
480	1132	1222
481	1133	1218
482	1135	1215
483	1138	1213
484	1140	1210
485	1141	1207
486	1142	1203
487	1145	1202
488	1147	1199
489	1149	1196
490	1151	1193
491	1155	1192
492	1157	1190
493	1162	1190
494	1164	1187
495	1166	1184
496	1170	1184
497	1171	1180
498	1172	1177
499	1173	1173
500	1177	1172
501	1179	1169
502	1180	1166
503	1182	1163
504	1184	1160
505	1185	1157
506	1187	1154
507	1191	1153
508	1192	1150
509	1193	1147
510	1195	1143
511	1198	1142
512	1200	1139
513	1201	1135
514	1202	1132
515	1206	1131
516	1207	1128
517	1209	1125
518	1210	1122
519	1214	1121
520	1216	1118
521	1218	1115
522	1221	1114
523	1224	1112
524	1226	1109
525	1230	1108
526	1231	1105
527	1232	1102
528	1234	1098
529	1237	1097
530	1239	1094
531	1240	1091
532	1241	1088
533	1245	1086
534	1247	1083
535	1248	1080
536	1256	1083
537	1260	1082
538	1262	1079
539	1264	1077
540	1267	1075
541	1269	1072
542	1270	1069
543	1272	1066
544	1273	1063
545	1275	1060
546	1276	1057
547	1278	1054
548	1282	1053
549	1284	1051
550	1286	1048
551	1290	1047
552	1291	1044
553	1293	1041
554	1297	1040
555	1298	1037
556	1300	1034
557	1301	1030
558	1302	1027
559	1305	1025
560	1307	1023
561	1309	1020
562	1312	1018
563	1314	1016
564	1315	1012
565	1316	1009
566	1317	1006
567	1319	1003
568	1320	1000
569	1321	996
570	1322	993
571	1325	991
572	1326	988
573	1327	985
574	1328	982
575	1329	978
576	1333	977
577	1334	974
578	1335	971
579	1336	967
580	1337	964
581	1341	963
582	1342	960
583	1343	957
584	1345	954
585	1349	953
586	1350	950
587	1351	947
588	1352	944
589	1356	942
590	1357	939
591	1358	936
592	1359	933
593	1360	930
594	1364	928
595	1365	925
596	1366	922
597	1367	919
598	1368	916
599	1371	914
600	1373	911
601	1374	908
602	1375	905
603	1376	902
604	1380	901
605	1382	898
606	1383	896
607	1387	894
608	1389	891
609	1390	889
610	1394	887
611	1395	884
612	1396	881
613	1398	878
614	1399	875
615	1402	874
616	1404	871
617	1405	868
618	1406	865
619	1410	864
620	1411	861
621	1412	858
622	1414	855
623	1417	854
624	1419	851
625	1420	848
626	1422	845
627	1425	844
628	1426	841
629	1428	838
630	1429	836
631	1433	834
632	1435	832
633	1436	829
634	1440	827
635	1441	825
636	1442	822
637	1444	819
638	1447	817
639	1449	815
640	1450	812
641	1451	809
642	1455	807
643	1456	805
644	1458	802
645	1459	799
646	1462	798
647	1464	795
648	1465	792
649	1466	789
650	1469	787
651	1470	785
652	1472	782
653	1473	779
654	1474	776
655	1477	774
656	1479	772
657	1480	769
658	1482	766
659	1485	765
660	1487	762
661	1489	760
662	1492	758
663	1494	756
664	1495	753
665	1496	750
666	1497	747
667	1501	746
668	1502	743
669	1503	740
670	1504	737
671	1505	734
672	1507	732
673	1508	729
674	1509	726
675	1510	724
676	1511	721
677	1513	718
678	1514	716
679	1515	713
680	1516	710
681	1520	708
682	1521	706
683	1522	703
684	1523	700
685	1524	697
686	1528	696
687	1530	694
688	1531	691
689	1532	688
690	1536	687
691	1537	684
692	1538	681
693	1539	678
694	1544	677
695	1545	675
696	1547	672
697	1551	671
698	1553	669
699	1555	666
700	1556	663
701	1559	662
702	1560	659
703	1561	656
704	1562	653
705	1563	651
706	1565	648
707	1566	646
708	1567	643
709	1568	640
710	1572	639
711	1573	636
712	1575	634
713	1576	631
714	1580	629
715	1581	627
716	1582	624
717	1584	622
718	1587	620
719	1589	617
720	1590	615
721	1591	612
722	1592	610
723	1594	607
724	1595	605
725	1596	602
726	1598	600
727	1600	598
728	1602	595
729	1603	593
730	1604	590
731	1605	587
732	1608	585
733	1609	583
734	1611	580
735	1612	578
736	1613	575
737	1616	574
738	1618	571
739	1619	569
740	1621	566
741	1624	564
742	1625	562
743	1626	559
744	1627	557
745	1629	554
746	1632	552
747	1633	550
748	1634	547
749	1635	545
750	1636	542
751	1640	540
752	1641	538
753	1642	535
754	1643	533
755	1646	531
756	1647	528
757	1648	526
758	1649	523
759	1650	521
760	1652	518
761	1653	516
762	1654	514
763	1656	511
764	1657	509
765	1661	507
766	1662	505
767	1663	502
768	1664	500
769	1667	498
770	1668	495
771	1670	493
772	1671	490
773	1672	488
774	1675	486
775	1676	483
776	1678	481
777	1679	479
778	1682	477
779	1684	475
780	1685	472
781	1686	470
782	1687	467
783	1691	465
784	1692	463
785	1693	461
786	1694	458
787	1695	456
788	1697	453
789	1698	451
790	1699	449
791	1700	446
792	1704	444
793	1705	442
794	1706	440
795	1707	437
796	1708	435
797	1710	433
798	1712	430
799	1713	428
800	1714	426
801	1718	424
802	1719	421
803	1720	419
804	1722	417
805	1725	415
806	1726	412
807	1727	410
808	1728	408
809	1730	405
810	1733	404
811	1734	401
812	1735	399
813	1737	396
814	1740	395
815	1742	392
816	1743	390
817	1744	388
818	1745	385
819	1747	383
820	1748	381
821	1749	378
822	1751	376
823	1753	374
824	1755	372
825	1756	370
826	1757	367
827	1758	365
828	1761	363
829	1763	361
830	1764	358
831	1765	356
832	1766	354
833	1769	352
834	1771	349
835	1772	347
836	1773	345
837	1776	343
838	1778	341
839	1779	338
